ID,Condition,t HM,t GI,t DW,t DW opposite,t HW no help,HW nS,DW nS,DW opposite nS,GI nS,HW grade,HW grade no help,GI grade,n Generations,DW grade in,DW grade out,DW grade out opposite,Age,Gender,Education Level,Profession,Field of Study,On a scale form 1 to 10 how familar are you with robotics systems?,On a scale form 1 to 10 how familar are you with AI systems?,On a scale form 1 to 10 how confortable are you with solving quadratic equations?,On a scale form 1 to 10 how confortable are you with generating images with AI?,On a scale form 1 to 10 how confortable are you in drawing?
17,Ex,06:04,05:05,05:24,02:00,03:24,4,0,25,0,5.5,7.1,9.8,4,5,8.4,6.2,19 - 25,Male,University Bachelor,Bachelor Student,Business and law,1,6,5,1,3
18,Ex,09:14,03:18,06:30,02:08,06:15,0,0,40,0,9.9,9,9,2,5.1,8.5,8.4,19 - 25,Female,University Bachelor,Bachelor Student,Business,1,5,1,1,2
1,Ct,01:00,02:38,02:50,03:00,03:08,6,32,0,1,8.8,3.05,9.9,1,3.4,6.7,7.1,19 - 25,Male,University Bachelor,Researcher,Engineering,10,10,9,6,3
2,Ct,12:00,05:20,04:50,07:25,01:54,102,200,0,1,5.4,8.8,9.9,3,1.9,5.6,6.1,19 - 25,Male,University Bachelor,Bachelor Student,Engineering,9,9,10,6,6
3,Ct,02:22,02:49,02:31,13:06,09:32,119,112,0,1,8.8,2.6,10,1,6.2,6.4,8,19 - 25,Female,University Bachelor,Industry,Engineering,10,10,8,10,6
4,Ct,02:52,05:08,01:59,06:07,02:33,4,61,0,1,9.3,9.5,6.7,1,4.3,5.5,7.8,26 - 35,Male,PhD,Industry,Engineering,10,10,10,5,4
5,Ct,04:37,04:28,10:27,07:31,01:04,153,208,0,1,9.6,4.5,8,1,5.9,7.6,7.5,45+,Female,PhD,Professor,Engineering,10,10,6,9,9
6,Ct,03:58,05:00,18:00,08:40,00:17,47,202,4,1,7.3,2,9,1,5.9,7.6,8.7,19 - 25,Male,Masters,Industry,Software,6,8,7,10,10
7,Ct,06:38,05:36,04:10,15:36,04:11,82,160,0,1,3.4,0.7,9,4,4.6,7.4,8.1,26 - 35,Female,Masters,Industry,Environmental Science,1,3,1,3,5
8,Ct,02:36,03:27,01:44,04:48,01:06,2,16,0,1,9.6,5.9,9.4,1,5.2,5.7,8.3,19 - 25,Female,University Bachelor,recepcionist,Business,6,4,6,6,9
9,Ct,01:36,03:47,07:51,07:29,00:11,32,176,0,1,8,0,10,2,4.9,8.4,8.4,26 - 35,Female,Masters,Assistant,International Relations,1,5,1,9,8
10,Ct,01:48,02:49,01:29,14:08,01:00,10,20,0,1,9.7,9.7,10,1,5.1,6,8.7,< 18,Female,High School,Estudiante,School,7,9,8,1,6
11,Ct,04:35,02:44,05:22,04:00,00:50,62,140,0,1,5.2,2.3,10,1,6.9,6.9,7.4,19 - 25,Female,Masters,Administrator,Business,5,3,2,1,9
12,Ct,02:23,02:35,06:07,08:43,03:07,2,90,0,1,9.4,8.2,10,1,5.9,6.3,8.4,26 - 35,Male,PhD,Professor,Engineering,6,10,10,8,1
13,Ct,01:25,02:47,04:13,07:07,00:10,10,140,0,1,9.4,0,10,1,5.1,7.4,8.5,19 - 25,Female,University Bachelor,Bachelor Student,Business,1,9,9,5,4
14,Ct,04:54,02:18,06:19,06:19,02:41,42,42,0,1,9.3,2.3,10,1,5.1,6,8.5,26 - 35,Female,Masters,Industry,Education,2,4,1,2,3
15,Ct,02:02,02:12,04:45,06:30,00:07,14,120,0,1,3.4,0,10,1,5.1,5.1,8.9,36 - 45,Female,Masters,IE staff,Education,5,7,1,1,2
16,Ct,01:35,02:18,03:14,02:45,04:38,20,84,0,1,3.4,4.9,8,1,5.2,6.8,8.9,19 - 25,Female,University Bachelor,Bachelor Student,CS and AI,6,8,5,5,3
17,Ct,04:42,04:42,02:53,06:45,02:31,76,66,0,1,9.8,5.5,10,4,5,5.8,8.5,19 - 25,Male,University Bachelor,Bachelor Student,Business,1,6,7,6,4
18,Ct,03:00,01:50,06:50,17:19,00:42,10,128,0,1,5.2,9.8,8,1,5.4,6.6,8.8,19 - 25,Male,University Bachelor,Bachelor Student,Business and Computer Science,3,7,7,1,1
